"","genes","logFC","logCPM","F","PValue","FDR"
"3060","CDC14A",-1.07423566499728,3.74515461897278,50.7193299701896,3.71004158949942e-07,5.31401992270672e-05
"23453","LINC00341",-1.46388184583662,2.19814322029138,50.6915927702122,3.72598651391474e-07,5.31401992270672e-05
"8074","ENSG00000229645.4",-1.46280143554889,2.19632481941283,50.4482104949372,3.869146378181e-07,5.4851521259542e-05
"23332","LILRB5",-1.65292643063992,2.6139125176938,50.3730039314728,3.91458890464185e-07,5.5165412093688e-05
"2251","C2orf88",-1.92876553854847,5.19221001173164,49.9637002447047,4.17233656748269e-07,5.82177344950005e-05
"23288","LGI1",-3.44169147968635,-0.358896741362086,49.9513972748913,4.18036530692718e-07,5.82177344950005e-05
"27268","MTHFD2",1.40869247784021,5.32751089088246,49.6574933672893,4.3772623703297e-07,6.06033255073425e-05
"1518","BBIP1",-1.22637722797957,4.77328777128089,49.4332491763157,4.53429584927426e-07,6.22358561056561e-05
"24523","LOC541471",1.88528315174317,2.49722319919515,49.3692892557491,4.58020452282234e-07,6.22358561056561e-05
"5227","ECT2",2.23331686376893,5.56932047445657,49.3580839583222,4.58829945567918e-07,6.22358561056561e-05
"34776","TMEM165",0.987121099480963,5.54494900170504,49.3414743888986,4.60032727285736e-07,6.22358561056561e-05
"29428","PHLDA1",2.11795334308148,6.20492023754089,49.2947952198797,4.63431455080558e-07,6.23394301081376e-05
"35290","TRIM29",4.51537236606743,4.22797260324506,49.1575957721293,4.73580588189756e-07,6.30891827113229e-05
"21010","GPX3",-1.88891527801497,4.23489991260624,49.1475294537232,4.74334721124202e-07,6.30891827113229e-05
"21050","GRIK3",-2.7213066799099,2.51293515286494,49.0940572256434,4.78362697602184e-07,6.32694796968252e-05
"33440","SOX4",1.8498245017911,6.47730602126085,49.0258183363628,4.83557311759541e-07,6.33500026135632e-05
"27967","NOP56",1.44760000098427,5.91532450356014,49.0158256624192,4.8432314564118e-07,6.33500026135632e-05
"2472","CA7",-4.49167614823216,4.40384391473435,48.9529046045081,4.89175889327444e-07,6.3633182306743e-05
"27787","NFE2L3",1.67941547389443,6.10512701697384,48.859318209293,4.96492079152746e-07,6.42319670707173e-05
"1834","C10orf2",1.56554018465265,3.60148726131548,48.7796393954334,5.02815162838606e-07,6.46964618489347e-05
"3797","COL5A2",2.43498423181183,7.59554818407123,48.6853644052564,5.10410261454424e-07,6.5318718594235e-05
"20622","GINS1",2.09610919285748,4.12927459729706,48.6489004987114,5.13381403389658e-07,6.53457243293019e-05
"29261","PDX1",3.85202706959827,0.895404862779132,48.5857527097912,5.18571525511864e-07,6.56533736176117e-05
"29833","POLR1B",1.13908821934839,4.78498614842993,48.1390634343765,5.56961411334805e-07,7.01386245391037e-05
"2106","C1orf115",-1.60879247498901,5.437792811019,48.0855217881833,5.61767230647182e-07,7.01971474811822e-05
"31251","RNF138P1",-1.59601824581262,3.49099647402691,48.0479963898188,5.65162414112981e-07,7.01971474811822e-05
"22268","IQGAP3",2.10988727962997,5.22467960175672,48.0352447774004,5.66321232055155e-07,7.01971474811822e-05
"29801","PODNL1",1.76411826763035,1.29327310274294,47.9630371859084,5.72932276963479e-07,7.06467273807832e-05
"353","ADIPOQ",-6.58630889683412,3.06766517522667,47.838659852671,5.84518068572449e-07,7.17018926085633e-05
"1634","BIRC5",2.05933408115542,4.5113249364398,47.6853137339331,5.99155452687147e-07,7.29072796478329e-05
"35207","TPX2",2.34633386810297,5.42187408889575,47.6713974878526,6.00503464892394e-07,7.29072796478329e-05
"3331","CFD",-2.88526588553072,5.99530663496336,47.5380108599136,6.13593274672634e-07,7.37748726847342e-05
"19934","FGL2",-1.39991945069914,6.45148165584456,47.5160905231876,6.15774041869298e-07,7.37748726847342e-05
"35818","UCN2",4.10646490593207,0.292836055494248,47.479453418686,6.19437823127351e-07,7.37748726847342e-05
"21535","HIST3H2A",2.02693176393576,3.47770289554457,47.4727173264548,6.20114030169466e-07,7.37748726847342e-05
